quantity,start_date,end_date,prison_place,prison_place_lat,prison_place_lng,prison_place_link,labelConvoyDeparturePlace
9,1/12/1943,1/31/1944,Carcere di Varese,45.82227044,8.821940231,http://dati.cdec.it/lod/shoah/prison/VARESE_carcere,FOSSOLI campo
4,2/1/1944,2/27/1944,Carcere di Varese,45.82227044,8.821940231,http://dati.cdec.it/lod/shoah/prison/VARESE_carcere,MILANO carcere
2,2/28/1944,10/2/1944,Carcere di Varese,45.82227044,8.821940231,http://dati.cdec.it/lod/shoah/prison/VARESE_carcere,MILANO carcere
1,10/3/1944,12/5/1944,Carcere di Varese,45.82227044,8.821940231,http://dati.cdec.it/lod/shoah/prison/VARESE_carcere,FOSSOLI campo
2,12/6/1944,4/25/1945,Carcere di Varese,45.82227044,8.821940231,http://dati.cdec.it/lod/shoah/prison/VARESE_carcere,FOSSOLI campo
1,11/30/1944,4/25/1945,Carcere di Venezia,45.43569903,12.31661263,http://dati.cdec.it/lod/shoah/prison/VENEZIA_carcere,TRIESTE  Risiera San Sabba campo
3,10/15/1943,4/12/1944,Caserma di Arona,45.75211708,8.563266754,http://dati.cdec.it/lod/shoah/prison/ARONA_caserma,NOVARA carcere
3,11/16/1943,5/14/1944,Collegio militare di Roma,41.92258835,12.46898653,http://dati.cdec.it/lod/shoah/prison/ROMA_Collegio_Militare,ROMA Collegio Militare
1,8/7/1944,2/3/1945,Luino,46.00114082,8.746221365,http://dati.cdec.it/lod/shoah/prison/LUINO,MILANO carcere
1,10/15/1943,4/12/1944,Meina,45.79267109,8.539625855,http://dati.cdec.it/lod/shoah/prison/MEINA,MEINA
1,8/4/1944,1/31/1945,Modena,44.67044207,10.9190172,http://dati.cdec.it/lod/shoah/prison/MODENA,FOSSOLI campo
1,1/15/1944,7/13/1944,Tirano,46.21426854,10.16327214,http://dati.cdec.it/lod/shoah/prison/TIRANO,MILANO carcere
